id,Ticker,name
agoras-currency-of-tau,AGRS,Agoras: Currency of Tau
aegis,AGS,Aegis
agritech,AGT,Agritech
agronomist,AGTE,Agronomist
aave-gusd,AGUSD,Aave GUSD
astra-guild-ventures,AGV,Astra Guild Ventures
agavecoin,AGVC,AgaveCoin
agave-token,AGVE,Agave
agx-coin,AGX,AGX Coin
ahatoken,AHT,AhaToken
multiverse,AI,Multiverse
all-in-ai,AIAI,ALLINAI
advanced-internet-block,AIB,Advanced Integrated Blocks
bullbear-ai,AIBB,BullBear AI
aicon,AICO,Aicon
ai-code,AICODE,AI CODE
aidcoin,AID,AidCoin
aidi-finance-2,AIDI,Aidi Finance
arbdoge-ai,AIDOGE,ArbDoge AI
ai-dogemini,AIDOGEMINI,AI DogeMini
aienglish,AIEN,AIENGLISH
ai-floki,AIFLOKI,AI Floki
all-in-gpt,AIGPT,All In GPT
aimedis-new,AIMX,Aimedis (NEW)
ai-network,AIN,AI Network
ainu-token,AINU,Ainu
aion,AION,Aion
aioz-network,AIOZ,AIOZ Network
aipad,AIPAD,AIPad
arbpanda-ai,AIPANDA,ArbPanda AI
aipeople,AIPEOPLE,AIPeople
altair,AIR,Altair
airight,AIRI,aiRight
airnft-token,AIRT,AirNFT
airtnt,AIRTNT,AirTnT
aircoins,AIRX,Aircoins
ai-smart-chain,AISC,Ai Smart Chain
arbshib,AISHIB,ArbShib
aichain,AIT,AICHAIN
artificial-intelligence-technology-network,AITN,Artificial Intelligence Technology Network
aiwallet,AIWALLET,AiWallet
ajna-protocol,AJNA,Ajna Protocol
akroma,AKA,Akroma
akitsuki,AKI,Akitsuki
akita-inu,AKITA,Akita Inu
akitavax,AKITAX,Akitavax
akoin,AKN,Akoin
aave-knc,AKNC,Aave KNC
akropolis,AKRO,Akropolis
akash-network,AKT,Akash Network
akita-inu-asa,AKTA,Akita Inu ASA
aktio,AKTIO,Aktio
alanyaspor-fan-token,ALA,Alanyaspor Fan Token
albedo,ALBEDO,ALBEDO
allianceblock,ALBT,AllianceBlock
alicenet,ALCA,AliceNet
alcazar,ALCAZAR,Alcazar (OLD)
alchemix,ALCX,Alchemix
aladdin-dao,ALD,Aladdin DAO
aleph,ALEPH,Aleph.im
alert,ALERT,ALERT
alchemix-eth,ALETH,Alchemix ETH
alexgo,ALEX,ALEX Lab
alfprotocol,ALF,AlfProtocol
algory,ALG,Algory
algebra,ALGB,Algebra
algofund,ALGF,AlgoFund
algorand,ALGO,Algorand
algoblocks,ALGOBLK,AlgoBlocks
alita,ALI,Alita
spectrecoin,ALIAS,Alias
my-neighbor-alice,ALICE,My Neighbor Alice
alienfi,ALIEN,AlienFi
alif-coin,ALIF,AliF Coin
aave-link,ALINK,Aave LINK
alliance-fan-token,ALL,Alliance Fan Token
all-in,ALLIN,All In
hyperalloy,ALLOY,HyperAlloy
almond,ALM,Almond
almira-wallet,ALMR,Almira Wallet
aluna,ALN,Aluna
aloha,ALOHA,Aloha
alon-mars,ALONMARS,Alon Mars
dexalot,ALOT,Dexalot
coinalpha,ALP,CoinAlpha
alpaca,ALPA,Alpaca City
alpaca-finance,ALPACA,Alpaca Finance
alephium,ALPH,Alephium
alphacoin,ALPHA,Alpha Coin
alphr,ALPHR,Alphr
alpine-f1-team-fan-token,ALPINE,Alpine F1 Team Fan Token
alitas,ALT,Alitas
altbase,ALTB,Altbase
altitude,ALTD,Altitude
alterna-network,ALTN,Alterna Network
altcommunity-coin,ALTOM,ALTOM
altrucoin-2,ALTRUCOIN,Altrucoin
altura,ALU,Altura
alchemix-usd,ALUSD,Alchemix USD
ally,ALY,Ally
alyattes,ALYA,Alyattes
aston-martin-cognizant-fan-token,AM,Aston Martin Cognizant Fan Token
curve-fi-amdai-amusdc-amusdt,AM3CRV,Curve.fi amDAI/amUSDC/amUSDT
amaurot,AMA,AMAUROT
aave-polygon-aave,AMAAVE,Aave Polygon AAVE
aave-mana,AMANA,Aave MANA
amasa,AMAS,Amasa
amax-network,AMAX,AMAX Network
amazingteamdao,AMAZINGTEAM,AmazingTeamDAO
amber,AMB,AirDAO
aave-polygon-dai,AMDAI,Aave Polygon DAI
amdg-token,AMDG,AMDG
amepay,AME,AME Chain
amgen,AMG,Amgen
ammyi-coin,AMI,AMMYI Coin
aave-mkr,AMKR,Aave MKR
alongside-crypto-market-index,AMKT,Alongside Crypto Market Index
coinfirm-amlt,AMLT,AMLT Network
micromoney,AMM,MicroMoney
amo,AMO,AMO Coin
amond,AMON,AmonD
amp-token,AMP,Amp
ampleforth,AMPL,Ampleforth
ampleswap,AMPLE,AmpleSwap
eris-amplified-luna,AMPLUNA,Eris Amplified Luna
amateras,AMT,Amateras
amulet-staked-sol,AMTSOL,Amulet Staked SOL
aave-polygon-usdc,AMUSDC,Aave Polygon USDC
aave-polygon-usdt,AMUSDT,Aave Polygon USDT
avatar-musk-verse,AMV,Avatar Musk Verse
aave-polygon-wbtc,AMWBTC,Aave Polygon WBTC
aave-polygon-weth,AMWETH,Aave Polygon WETH
aave-polygon-wmatic,AMWMATIC,Aave Polygon WMATIC
alt-markets,AMX,Alt Markets
the-amaze-world,AMZE,The Amaze World
nirvana-ana,ANA,Nirvana ANA
anarchy,ANARCHY,Anarchy
a-nation,ANATION,A-Nation
angryb,ANB,Angryb
anchor-protocol,ANC,Anchor Protocol
anchorswap,ANCHOR,AnchorSwap
andronodes,ANDRO,AndroNodes
aureus-nummus-gold,ANG,Aureus Nummus Gold
angelscreed,ANGEL,AngelsCreed
angle-protocol,ANGLE,ANGLE
animeswap,ANI,AnimeSwap
arkania-protocol,ANIA,Arkania Protocol
anifi-world,ANIFI,AniFi World
anima,ANIMA,ANIMA
aniverse-metaverse,ANIV,Aniverse Metaverse
anji,ANJI,Anji
ankaragucu-fan-token,ANKA,Ankaragücü Fan Token
ankaa-exchange,ANKAA,Ankaa Exchange
ankr,ANKR,Ankr Network
ankr-staked-avax,ANKRAVAX,Ankr Staked AVAX
ankr-staked-bnb,ANKRBNB,Ankr Staked BNB
ankreth,ANKRETH,Ankr Staked ETH
ankr-reward-bearing-ftm,ANKRFTM,Ankr Staked FTM
ankr-reward-earning-matic,ANKRMATIC,Ankr Staked MATIC
animverse,ANM,Animverse
animal-concerts-token,ANML,Animal Concerts
anomus-coin,ANOM,Anomus Coin
anon,ANON,ANON
offshift-anonusd,ANONUSD,Offshift anonUSD
answerly,ANSR,Answerly
aragon,ANT,Aragon
tribalpunk-cryptoverse,ANTA,Tribalpunk Cryptoverse
antedao,ANTE,AnteDAO
antgold,ANTG,AntGold
fireants,ANTS,FireAnts
antnetworx,ANTX,AntNetworX
gameantz,ANTZ,GameAntz
aniverse,ANV,Aniverse
anyswap,ANY,Anyswap
aurora,AOA,Aurora Chain
ageofgods,AOG,AgeOfGods
aok,AOK,AOK
anypad,APAD,Anypad
arenaplay,APC,ArenaPlay
allpaycoin,APCG,ALLPAYCOIN
apch,APCH,APCH
aptopad,APD,Aptopad
apecoin,APE,ApeCoin
aped,APED,Aped
ape-finance,APEFI,Ape Finance
ape-in,APEIN,Ape In
ape-universe,APEU,Ape Universe
apexit-finance,APEX,ApeXit Finance
the-apis,API,The APIS
api3,API3,API3
apix,APIX,APIX
apollo,APL,Apollo
apm-coin,APM,apM Coin
apiens,APN,Apiens
apollo-crypto,APOLLO,Apollo Crypto
dappsy,APP,Dappsy
appcoins,APPC,AppCoins
april,APRIL,April
apricot,APRT,Apricot
apidae,APT,Apidae
wrapped-usdt-allbridge-from-polygon,APUSDT,Wrapped USDT (Allbridge from Polygon)
apwine,APW,APWine
appics,APX,Appics
apy-finance,APY,APY.Finance
apyswap,APYS,APYSwap
aquanee,AQDC,Aquanee
alpha-quark-token,AQT,Alpha Quark
aqtis,AQTIS,AQTIS
aquarius-fi,AQU,Aquarius.Fi
aquachain,AQUA,Aquachain
aqua-goat,AQUAGOAT,Aqua Goat
aquari,AQUARI,Aquari
arweave,AR,Arweave
adora-token,ARA,Adora
aave-rai,ARAI,Aave RAI
arbitrum,ARB,Arbitrum
arbipad,ARBI,ArbiPad
arbinu,ARBINU,Arbinu
arbis-finance,ARBIS,Arbis Finance
arbiten,ARBITEN,ArbiTen
arbitrumpad,ARBPAD,ArbitrumPad
arbys,ARBYS,Arbys
arc,ARC,Arc
arcadium,ARCADIUM,Arcadium
archive-ai,ARCAI,Archive AI
arcc,ARCC,ARCC
archimedes,ARCH,Archimedes Finance
archangel-token,ARCHA,ArchAngel
aquariuscoin,ARCO,AquariusCoin
arcona,ARCONA,Arcona
arbitrum-charts,ARCS,Arbitrum Charts
ariadne,ARDN,Ariadne
ardor,ARDR,Ardor
ardcoin,ARDX,ArdCoin
areon-network,AREA,Areon Network
aave-ren,AREN,Aave REN
arena-token,ARENA,ArenaSwap
ares3-network,ARES,Ares3 Network
argonon-helium,ARG,Argonon Helium
argo,ARGO,ArGoApp
argon,ARGON,Argon
ari-swap,ARI,Ari Swap
ari10,ARI10,Ari10
legends-of-aria,ARIA,Legends Of Aria
arianee,ARIA20,Arianee
arion,ARION,Arion
arix,ARIX,Arix
ark,ARK,ARK
arker-2,ARKER,Arker
ark-rivals,ARKN,Ark Rivals
armor,ARMOR,ARMOR
armour-wallet,ARMOUR,Armour Wallet
2acoin,ARMS,2ACoin
babydogearmy,ARMY,BabyDogeARMY
arnoya-classic,ARNC,Arnoya classic
arenum,ARNM,Arenum
aeron,ARNX,Aeron
arora,AROR,Arora
arpa,ARPA,ARPA
arqma,ARQ,ArQmA
array,ARRAY,Array
arrland-arrc,ARRC,Arrland ARRC
pirate-chain,ARRR,Pirate Chain
arbisphere-launchpad,ARSH,Arbisphere Launchpad
arthswap,ARSW,ArthSwap
decentral-art,ART,Decentral ART
arte,ARTE,ARTE
artem,ARTEM,Artem
arteq-nft-investment-fund,ARTEQ,artèQ NFT Investment Fund
marbledao-artex,ARTEX,MarbleDAO ARTEX
arth,ARTH,ARTH
artkit,ARTI,ArtKit
artic-foundation,ARTIC,ARTIC Foundation
artik,ARTK,Artik
artl,ARTL,ARTL
artm,ARTM,ARTM
artery,ARTR,Artery
artx,ARTX,ARTX
arable-usd,ARUSD,Arable USD
ariva,ARV,Ariva
arrow,ARW,Arrow
arcs,ARX,ARCS
arize,ARZ,ARize
allsafe,ASAFE,AllSafe
asan-verse,ASAN,ASAN VERSE
ascension-protocol,ASCEND,Ascension Protocol
asd,ASD,AscendEx
asgard-games,ASG,Asgard Games
ash,ASH,ASH
asia-coin,ASIA,Asia Coin
asic-token,ASIC,ASIC Token
asimi,ASIMI,ASIMI
asix,ASIX,ASIX
asixplus,ASIX+,AsixPlus
permission-coin,ASK,Permission Coin
askobar-network,ASKO,Asko
assemble-protocol,ASM,Assemble Protocol
ascension,ASN,Ascension
assent-protocol,ASNT,Assent Protocol
aave-snx,ASNX,Aave SNX
aspo-world,ASPO,ASPO World
as-roma-fan-token,ASR,AS Roma Fan Token
australian-safe-shepherd,ASS,Australian Safe Shepherd
assaplay,ASSA,AssaPlay
iassets,ASSET,iAssets
airswap,AST,AirSwap
asta,ASTA,ASTA
acestarter,ASTAR,AceStarter
aave-interest-bearing-steth,ASTETH,Aave Interest Bearing STETH
altered-state-token,ASTO,Altered State Machine
astar,ASTR,Astar
astra-dao,ASTRA,Astra DAO
astrafer,ASTRAFER,Astrafer
astral-ai,ASTRAL,Astral AI
astroswap,ASTRO,AstroSwap
astroai,ASTROAI,AstroAI
astroport,ASTROC,Astroport Classic
astro-pepe,ASTROPEPE,Astro Pepe
aave-susd,ASUSD,Aave SUSD
astro-verse,ASV,Astro Verse
asva,ASVA,Asva Labs
adaswap,ASW,AdaSwap
allstars,ASX,AllStars
asyagro,ASY,ASYAGRO
automata,ATA,Automata
articoin,ATC,ArtiCoin
catapult,ATD,A2DAO
antfarm-token,ATF,Antfarm Token
athens,ATH,Athens
athenas,ATHENASV2,Athenas
athos-finance-usd,ATHUSD,Athos Finance USD
astriddao-token,ATID,AstridDAO
attack-wagon,ATK,Attack Wagon
atlantis-loans,ATL,Atlantis Loans
atlantis,ATLAS,Atlantis
atlantis-loans-polygon,ATLX,Atlantis Loans Polygon
atletico-madrid,ATM,Atletico Madrid Fan Token
aiptp,ATMT,AiPTP
auton,ATN,Auton
artizen,ATNT,Artizen
rizon,ATOLO,RIZON
cosmos,ATOM,Cosmos Hub
airtor-protocol,ATOR,AirTor Protocol
race-kingdom,ATOZ,Race Kingdom
alaya,ATP,Alaya
atompad,ATPAD,AtomPad
atpay,ATPAY,AtPay
artrade,ATR,Artrade
atari,ATRI,Atari
atlas-dex,ATS,Atlas DEX
artube,ATT,Artube
aave-tusd,ATUSD,Aave TUSD
astrox,ATX,AstroX
autocrypto,AU,AutoCrypto
auctus,AUC,Auctus
auction,AUCTION,Bounce
audius,AUDIO,Audius
auditchain,AUDT,Auditchain
aave-uni,AUNI,Aave UNI
opalcoin,AUOP,Opalcoin
aureo,AUR,AUREO
aura-finance,AURA,Aura Finance
aura-bal,AURABAL,Aura BAL
auroratoken,AURORA,AuroraToken
raider-aurum,AURUM,Raider Aurum
aurory,AURY,Aurory
acala-dollar,AUSD,Acala Dollar (Karura)
ausdc,AUSDC,SpaceShipX aUSDC
aave-usdt,AUSDT,Aave USDT
avenue-university-token,AUT,Avenue University Token
authencity,AUTH,Authencity
auto,AUTO,Auto
autosingle,AUTOS,AutoSingle
autumn,AUTUMN,Autumn
auxilium,AUX,Auxilium
avatly,AVA,Avatly
orca-avai,AVAI,Orca AVAI
avata-network,AVAT,AVATA Network
avalanche-2,AVAX,Avalanche
avocadocoin,AVDO,AvocadoCoin
avaware,AVE,Avaware
avadex-token,AVEX,AvaDex Token
avaocado-dao,AVG,Avocado DAO
avinoc,AVINOC,AVINOC
aston-villa-fan-token,AVL,Aston Villa Fan Token
avme,AVME,AVME
avnrich,AVN,AVNRich
avocado,AVO,Avocado
aventus,AVT,Aventus
avaxlauncher,AVXL,Avaxlauncher
avaxtars,AVXT,Avaxtars
aave-wbtc,AWBTC,Aave WBTC
atomic-wallet-coin,AWC,Atomic Wallet Coin
aave-weth,AWETH,Aave WETH
arbi-wiz,AWIZ,Arbi Wiz
another-world,AWM,Another World
aiwork,AWO,AiWork
active-world-rewards-token,AWRT,Active World Rewards
aurusx,AX,AurusX
axe,AXE,Axe
axel,AXEL,AXEL
axioms,AXI,Axioms
axial-token,AXIAL,Axial Token
axia,AXIAV3,Axia
axis-defi,AXIS,Axis DeFi
axelar,AXL,Axelar
axle-games,AXLE,Axle Games
axlusdc,AXLUSDC,Axelar USDC
axlwbtc,AXLWBTC,axlWBTC
axlweth,AXLWETH,axlWETH
axion,AXN,Axion
axpire,AXPR,Moola
axie-infinity,AXS,Axie Infinity
axie-infinity-shard-wormhole,AXSET,Axie Infinity Shard (Wormhole)
aave-xsushi,AXSUSHI,Aave XSUSHI
alliance-x-trading,AXT,Alliance X Trading
aryacoin,AYA,Aryacoin
aave-yfi,AYFI,Aave YFI
azbit,AZ,Azbit
aleph-zero,AZERO,Aleph Zero
azit,AZIT,azit
anonzk,AZK,AnonZK
astrazion,AZNT,AstraZion
aezora,AZR,Azzure
